Index,name,height,weight,college,birth_date,birth_city,birth_state
1003,Mike Macaluso,196,95,Canisius College,1951,,
1004,Ted Manakas,188,81,Princeton University,1951,,
1005,Vester Marshall,201,90,University of Oklahoma,1948,,
1006,Allie McGuire,188,81,St. John's University,1928,New York,New York
1007,Larry McNeill,206,88,Marquette University,1951,Hoke,North Carolina
1008,Gary Melchionni,188,83,Duke University,1951,Camden,New Jersey
1009,Louie Nelson,190,86,University of Washington,1951,Los Angeles,California
1010,Jim Owens,196,90,Arizona State University,1950,Los Angeles,California
1011,Ed Ratleff,198,88,"California State University, Long Beach",1950,Bellefontaine,Ohio
1012,Joe Reaves,196,95,Bethel College,1950,,
1013,Mark Sibley,188,79,Northwestern University,1950,,
1014,Bob Verga,185,86,Duke University,1945,Neptune,New Jersey
1015,Kermit Washington,203,104,American University,1951,Washington,District of Columbia
1016,Slick Watts,185,79,Xavier University of Louisiana,1951,Rolling Ford,Mississippi
1017,Nick Weatherspoon,201,88,University of Illinois at Urbana-Champaign,1950,Greenwood,Mississippi
1018,Luke Witte,213,106,Ohio State University,1950,Philadelphia,Pennsylvania
1019,Dan Anderson,208,104,Augsburg College,1943,Minneapolis,Minnesota
1020,Jim Ard,203,97,University of Cincinnati,1948,Harvey,Illinois
1021,Gus Bailey,196,83,University of Texas at El Paso,1951,Gibson,North Carolina
1022,Leon Benbow,193,83,Jacksonville University,1950,Columbia,South Carolina
1023,Ken Boyd,196,88,Boston University,1952,Frederick,Maryland
1024,Gary Brokaw,193,80,University of Notre Dame,1954,New Brunswick,New Jersey
1025,Tom Burleson,218,102,North Carolina State University,1952,Crossnore,North Carolina
1026,Harvey Catchings,206,98,Hardin-Simmons University,1951,Jackson,Mississippi
1027,Jim Chones,211,99,Marquette University,1949,Racine,Wisconsin
1028,Ben Clyde,201,89,Florida State University,1951,Albany,Georgia
1029,Jesse Dark,196,95,Virginia Commonwealth University,1951,Richmond,Virginia
1030,Rod Derline,183,79,Seattle University,1952,Elma,Washington
1031,John Drew,198,92,Gardner-Webb University,1954,Vredenburgh,Alabama
1032,Dennis DuVal,190,79,Syracuse University,1952,Westbury,New York
1033,Al Eberhard,198,102,University of Missouri,1952,Cedar Rapids,Iowa
1034,Leonard Gray,203,108,"California State University, Long Beach",1951,Kansas City,Kansas
1035,Bernie Harris,208,90,Virginia Commonwealth University,1950,Roanoke,Virginia
1036,Steve Hawes,206,99,University of Washington,1950,Seattle,Washington
1037,Tom Henderson,190,86,University of Hawaii,1952,Newberry,South Carolina
1038,Greg Jackson,183,81,Guilford College,1952,Brooklyn,New York
1039,Wardell Jackson,201,90,Ohio State University,1951,Yazoo City,Mississippi
1040,Aaron James,203,95,Grambling State University,1952,New Orleans,Louisiana
1041,Mickey Johnson,208,86,Aurora University,1952,Chicago,Illinois
1042,Jimmy Jones,193,85,Grambling State University,1945,Tallulah,Louisiana
1043,Frank Kendrick,198,89,Purdue University,1950,Indianapolis,Indiana
1044,Len Kosmalski,213,111,University of Tennessee,1951,Cleveland,Ohio
1045,Bill Ligon,193,81,Vanderbilt University,1952,Nashville,Tennessee
1046,Phil Lumpkin,183,74,Miami University,1951,Dayton,Ohio
1047,Glenn McDonald,198,86,"California State University, Long Beach",1952,Kewanee,Illinois
1048,Eric Money,183,77,University of Arizona,1955,Detroit,Michigan
1049,Connie Norman,190,79,University of Arizona,1953,Detroit,Michigan
1050,Kevin Restani,206,102,University of San Francisco,1951,San Francisco,California
1051,Truck Robinson,201,102,Tennessee State University,1951,Jacksonville,Florida
1052,Campy Russell,196,98,University of Michigan,1944,Chicago,Illinois
1053,Fred Saunders,201,95,Syracuse University,1951,Columbus,Ohio
1054,Tal Skinner,196,88,University of Maryland Eastern Shore,1952,Berlin,Maryland
1055,Don Smith,188,86,University of Minnesota,1920,Minnesota,
1056,Phil Smith,193,83,University of San Francisco,1952,San Francisco,California
1057,Mike Sojourner,206,102,University of Utah,1953,Philadelphia,Pennsylvania
1058,Kevin Stacom,190,83,Providence College,1951,New York,New York
1059,George Thompson,188,90,Marquette University,1947,Brooklyn,New York
1060,Dean Tolson,203,86,University of Arkansas,1951,Kansas City,Missouri
1061,Foots Walker,183,83,State University of West Georgia,1951,Southampton,New York
1062,Bill Walton*,211,95,"University of California, Los Angeles",1952,La Mesa,California
1063,Perry Warbington,188,74,Georgia Southern University,1952,Atlabta,Georgia
1064,Stan Washington,193,86,University of San Diego,1952,Washington,District of Columbia
1065,Scott Wedman,201,97,University of Colorado,1952,Harper,Kansas
1066,Owen Wells,201,90,University of Detroit Mercy,1950,Providence,Rhode Island
1067,Jamaal Wilkes*,198,86,"University of California, Los Angeles",1953,Berkeley,California
1068,Earl Williams,201,104,Winston-Salem State University,1951,Levittown,Pennsylvania
1069,Bobby Wilson,193,83,West Virginia State University,1926,,
1070,Brian Winters,193,83,University of South Carolina,1952,Rockaway,New York
1071,Alvan Adams,206,95,University of Oklahoma,1954,Lawrence,Kansas
1072,Jerome Anderson,196,88,West Virginia University,1953,Mullens,West Virginia
1073,Jerry Baskerville,201,86,Temple University,1951,Philadelphia,Pennsylvania
1074,Bob Bigelow,201,97,University of Pennsylvania,1953,Boston,Massachusetts
1075,Tom Boswell,206,99,University of South Carolina,1953,Montgomery,Alabama
1076,Junior Bridgeman,196,95,University of Louisville,1953,East Chicago,Indiana
1077,Joe Bryant,206,83,La Salle University,1954,Philadelphia,Pennsylvania
1078,Al Carlson,211,106,University of Oregon,1951,Oceanside,California
1079,Jim Creighton,203,90,University of Colorado,1950,Billings,Montana
1080,Darryl Dawkins,211,113,,1957,Orlando,Florida
1081,Henry Dickerson,193,86,University of Charleston,1951,Berkley,West Virginia
1082,Eric Fernsten,208,92,University of San Francisco,1953,Oakland,California
1083,Larry Fogle,196,92,Canisius College,1953,Brooklyn,New York
1084,Don Ford,206,97,"University of California, Santa Barbara",1952,Santa Barbara,California
1085,World B.,206,97,,1952,,
1086,Donnie Freeman,190,83,University of Illinois at Urbana-Champaign,1944,Madison,Illinois
1087,Kevin Grevey,196,95,University of Kentucky,1953,Hamilton,Ohio
1088,Bob Gross,198,90,"California State University, Long Beach",1953,San Pedro,California
1089,Lindsay Hairston,201,81,Michigan State University,1951,Detroit,Michigan
1090,Glenn Hansen,193,92,Louisiana State University,1952,Devils Lake,North Dakota
1091,Robert Hawkins,193,86,Illinois State University,1954,Detroit,Michigan
1092,Wilbur Holland,183,79,University of New Orleans,1951,Columbus,Georgia
1093,Lionel Hollins,190,83,Arizona State University,1953,Ark City,Kansas
1094,Steve Jones,196,92,University of Oregon,1942,Alexandria,Louisiana
1095,Rich Kelley,213,106,Stanford University,1953,San Mateo,California
1096,Tom Kropp,190,92,University of Nebraska at Kearney,1953,Grand Island,Nebraska
1097,C.J. Kupec,190,92,,1953,,
1098,John Lambert,208,102,University of Southern California,1953,Berkeley,California
1099,John Laskowski,198,83,Indiana University,1953,South Bend,Indiana
1100,Greg Lee,190,86,"University of California, Los Angeles",1951,Reseda,California
1101,Clyde Mayes,203,102,Furman University,1953,Greenville,South Carolina
1102,Ken Mayfield,188,83,Tuskegee University,1948,Chicago,Illinois
1103,Jim McElroy,190,86,Central Michigan University,1953,Cotton Plant,Arkansas
1104,George McGinnis,203,106,Indiana University,1950,Indianapolis,Indiana
1105,Tom McMillen,211,97,University of Maryland,1952,Elmira,New York
1106,Joe Meriweather,208,97,Southern Illinois University,1953,Phenix City,Alabama
1107,Dave Meyers,203,97,"University of California, Los Angeles",1953,San Diego,California
1108,Frank Oleynick,188,83,Seattle University,1955,Bridgeport,Connecticut
1109,Cliff Pondexter,206,105,"California State University, Long Beach",1954,Fresno,California
1110,Bill Robinzine,201,104,DePaul University,1953,Chicago,Illinois
1111,John Roche,190,77,University of South Carolina,1949,New York,New York
1112,Bruce Seals,203,95,Xavier University of Louisiana,1953,New Orleans,Louisiana
1113,Ed Searcy,198,95,St. John's University,1952,New York,New York
1114,Gene Short,198,90,Jackson State University,1953,Macon,Mississippi
1115,John Shumate,206,106,University of Notre Dame,1952,Greenville,South Carolina
1116,Ricky Sobers,190,89,"University of Nevada, Las Vegas",1953,Bronx,New York
1117,Terry Thomas,203,99,University of Detroit Mercy,1953,Detroit,Michigan
1118,Rudy White,188,88,Arizona State University,1953,Silver City,New Mexico
1119,Gus Williams,188,79,University of Southern California,1953,Mount Vernon,New York
1120,Bill Willoughby,203,92,,1957,Englewood,New Jersey
1121,Tom Abernethy,201,99,Indiana University,1954,South Bend,Indiana
1122,Bird Averitt,185,77,Pepperdine University,1952,Hopkinsville,Kentucky
1123,Tom Barker,211,102,University of Hawaii,1955,Harlingen,Texas
1124,Marvin Barnes,203,95,Providence College,1952,Providence,Rhode Island
1125,Norton Barnhill,193,92,Washington State University,1953,Winston-Salem,North Carolina
1126,Mike Barr,190,81,Duquesne University,1950,Canton,Ohio
1127,Tim Bassett,203,102,University of Georgia,1951,Washington,District of Columbia
1128,Byron Beck,206,102,University of Denver,1945,Ellensburg,Washington
1129,Mel Bennett,201,90,University of Pittsburgh,1955,Pittsburgh,Pennsylvania
1130,Ron Boone,188,90,Idaho State University,1946,Oklahoma City,Oklahoma
1131,Quinn Buckner,190,86,Indiana University,1954,Phoenix,Illinois
1132,Ticky Burden,188,83,University of Utah,1953,Haines City,Florida
1133,Don Buse,193,86,University of Evansville,1950,Huntingburg,Indiana
1134,Mack Calvin,183,74,University of Southern California,1947,Fort Worth,Texas
1135,M.L. Carr,183,74,,1947,,
1136,Cornelius Cash,203,97,Bowling Green State University,1952,Macon,Mississippi
1137,Norm Cook,203,95,University of Kansas,1955,Chicago,Illinois
1138,Louie Dampier*,183,77,University of Kentucky,1944,Indianapolis,Indiana
1139,Mel Daniels*,206,99,University of New Mexico,1944,Detroit,Michigan
1140,Adrian Dantley*,196,94,University of Notre Dame,1956,Washington,District of Columbia
1141,Johnny Davis,188,77,University of Dayton,1955,Detroit,Michigan
1142,Ron Davis,198,89,Washington State University,1954,Phoenix,Arizona
1143,Randy Denton,208,108,Duke University,1949,Raleigh,North Carolina
1144,Coby Dietrick,208,99,San Jose State University,1948,Riverside,California
1145,Leon Douglas,208,104,University of Alabama,1954,Leighton,Alabama
1146,Mike Dunleavy,190,81,University of South Carolina,1954,Brooklyn,New York
1147,Jim Eakins,211,97,Brigham Young University,1946,Sacramento,California
1148,Len Elmore,206,99,University of Maryland,1952,New York,New York
1149,Darrell Elston,193,86,University of North Carolina,1952,Tipton,Indiana
1150,Alex English*,201,86,University of South Carolina,1954,Columbia,South Carolina
1151,Julius Erving*,201,95,University of Massachusetts Amherst,1950,Roosevelt,New York
1152,Butch Feher,193,83,Vanderbilt University,1954,Flint,Michigan
1153,Mike Flynn,188,81,University of Kentucky,1953,Casablanca,Morocco
1154,Terry Furlow,193,86,Michigan State University,1954,Flint,Michigan
1155,Mike Gale,193,83,Elizabeth City State University,1950,Philadelphia,Pennsylvania
1156,Gus Gerard,203,90,University of Virginia,1953,Uniontown,Pennsylvania
1157,George Gervin*,201,81,Eastern Michigan University,1952,Detroit,Michigan
1158,Artis Gilmore*,218,108,Jacksonville University,1949,Chipley,Florida
1159,Mike Green,208,90,Louisiana Tech University,1951,McComb,Mississippi
1160,Steve Green,201,99,Indiana University,1953,Madison,Wisconsin
1161,Paul Griffin,206,92,Western Michigan University,1954,Shelby,Michigan
1162,Rudy Hackett,206,95,Syracuse University,1953,Mount Vernon,New York
1163,Phil Hicks,201,92,Tulane University,1953,Chicago,Illinois
1164,Armond Hill,193,86,Princeton University,1953,Brooklyn,New York
1165,Darnell Hillman,206,97,San Jose State University,1949,Sacramento,California
1166,Mo Howard,188,77,University of Maryland,1954,Philadelphia,Pennsylvania
1167,Kim Hughes,211,99,University of Wisconsin,1952,Freeport,Illinois
1168,Dan Issel*,206,106,University of Kentucky,1948,Batavia,Illinois
1169,Dennis Johnson*,193,83,Pepperdine University,1954,San Pedro,California
1170,Bobby Jones,206,95,University of North Carolina,1951,Charlotte,North Carolina
1171,Caldwell Jones,211,98,Albany State University,1950,McGehee,Arkansas
1172,Rich Jones,198,99,University of Memphis,1946,Memphis,Tennessee
1173,Robin Jones,206,102,Saint Louis University,1954,St. Louis,Missouri
1174,Wil Jones,190,83,Northwestern University,1936,,
1175,George Karl,190,83,University of North Carolina,1952,Penn Hills,Pennsylvania
1176,Goo Kennedy,196,92,Texas Christian University,1949,Charlotte,North Carolina
1177,Larry Kenon,206,92,University of Memphis,1952,Birmingham,Alabama
1178,Billy Knight,198,88,University of Pittsburgh,1952,Braddock,Pennsylvania
1179,Mitch Kupchak,206,104,University of North Carolina,1954,Hicksville,New York
1180,Bo Lamar,185,81,University of Louisiana at Lafayette,1951,Columbus,Ohio
1181,Ron Lee,193,87,University of Oregon,1952,Boston,Massachusetts
1182,Scott Lloyd,208,104,Arizona State University,1952,Chicago,Illinois
1183,John Lucas,190,79,University of Maryland,1953,Durham,North Carolina
1184,Maurice Lucas,206,97,Marquette University,1952,Pittsburgh,Pennsylvania
1185,Moses Malone*,208,97,,1955,Petersburg,Virginia
1186,Scott May,201,97,Indiana University,1954,Sandusky,Ohio
1187,Andre McCarter,190,86,"University of California, Los Angeles",1953,Philadelphia,Pennsylvania
1188,Ted McClain,185,81,Tennessee State University,1946,Nashville,Tennessee
1189,Allen Murphy,196,86,University of Louisville,1952,Birmingham,Alabama
1190,Swen Nater,211,108,"University of California, Los Angeles",1950,Denhelder,Netherlands
1191,Johnny Neumann,198,90,University of Mississippi,1951,Memphis,Tennessee
1192,Mark Olberding,203,102,University of Minnesota,1956,Melrose,Minnesota
1193,Tom Owens,208,97,University of South Carolina,1949,Bronx,New York
1194,Joe Pace,208,99,Coppin State University,1953,New Brunswick,New Jersey
1195,Robert Parish*,213,104,Centenary College of Louisiana,1953,Shreveport,Louisiana
1196,Sonny Parker,198,90,Texas A&M University,1955,Chicago,Illinois
1197,Billy Paultz,211,106,St. John's University,1948,River Edge,New Jersey
1198,Marv Roberts,203,90,Utah State University,1950,Brooklyn,New York
1199,Dave Robisch,208,106,University of Kansas,1949,Cincinnati,Ohio
1200,Marshall Rogers,185,86,University of Texas-Pan American,1953,St. Louis,Missouri
1201,Dan Roundfield,203,92,Central Michigan University,1953,Detroit,Michigan
1202,Phil Sellers,193,88,Rutgers University,1953,Brooklyn,New York
1203,Lonnie Shelton,203,108,Oregon State University,1955,Bakersfield,California
1204,James Silas,185,81,Stephen F. Austin State University,1949,Tallulah,Louisiana
1205,Ralph Simpson,196,90,Michigan State University,1949,Detroit,Michigan
1206,Al Skinner,190,86,University of Massachusetts Amherst,1952,Mount Vernon,New York
1207,Willie Smith,213,99,Syracuse University,1949,,
1208,Keith Starr,198,86,University of Pittsburgh,1954,Sewickley,Pennsylvania
1209,Earl Tatum,196,83,Marquette University,1953,Mount Vernon,New York
1210,Brian Taylor,188,83,Princeton University,1951,Perth Amboy,New Jersey
1211,Fatty Taylor,183,79,La Salle University,1946,Washington,District of Columbia
1212,Ira Terrell,203,90,Southern Methodist University,1954,Dallas,Texas
1213,Claude Terry,193,88,Stanford University,1950,Salida,California
1214,David Thompson*,193,88,North Carolina State University,1954,Shelby,North Carolina
1215,Monte Towe,170,68,North Carolina State University,1953,Marion,Indiana
1216,Dave Twardzik,185,79,Old Dominion University,1950,Hershey,Pennsylvania
1217,Jan Van,185,79,,1950,,
1218,Andy Walker,193,86,Niagara University,1955,Long Island City,New York
1219,Wally Walker,201,86,University of Virginia,1954,Millersville,Pennsylvania
1220,Lloyd Walton,183,72,Marquette University,1953,Chicago,Illinois
1221,Henry Ward,193,88,Jackson State University,1952,Jackson,Mississippi
1222,Richard Washington,211,99,"University of California, Los Angeles",1955,Portland,Oregon
1223,Marvin Webster,216,102,Morgan State University,1952,Baltimore,Maryland
1224,Bob Wilkerson,198,88,Indiana University,1954,Anderson,Indiana
1225,Chuck Williams,183,74,Seattle University,1943,Colorado Springs,Colorado
1226,Chuckie Williams,183,74,Seattle University,1943,Colorado Springs,Colorado
1227,John Williamson,188,83,New Mexico State University,1951,New Haven,Connecticut
1228,Willie Wise,196,95,Drake University,1947,San Francisco,California
1229,Larry Wright,185,72,Grambling State University,1954,Monroe,Louisiana
1230,Tate Armstrong,190,79,Duke University,1955,Moultrie,Georgia
1231,Greg Ballard,201,97,University of Oregon,1955,Los Angeles,California
1232,Kent Benson,208,106,Indiana University,1954,New Castle,Indiana
1233,Otis Birdsong,190,86,University of Houston,1955,Winter Haven,Florida
1234,Phil Bond,188,79,University of Louisville,1954,Louisville,Kentucky
1235,Jim Bostic,201,102,New Mexico State University,1953,Brooklyn,New York
1236,Alonzo Bradley,198,86,Texas Southern University,1953,Utica,Mississippi
1237,Mike Bratz,188,83,Stanford University,1955,Lompoc,California
1238,Wayman Britt,188,83,University of Michigan,1952,Wilson Mills,North Carolina
1239,Kenny Carr,201,99,North Carolina State University,1955,Washington,District of Columbia
1240,Bob Carrington,198,88,Boston College,1953,Brookline,Massachusetts
1241,Wesley Cox,198,97,University of Louisville,1955,Louisville,Kentucky
1242,Charlie Criss,173,74,New Mexico State University,1948,Valhalla,New York
1243,Mark Crow,201,95,Duke University,1954,Edwards AFB,California
1244,Brad Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania
1245,Walter Davis,203,92,Texas A&M University,1931,Beaumont,Texas
1246,Jacky Dorsey,201,104,University of Georgia,1954,Atlanta,Georgia
1247,T.R. Dunn,201,104,,1954,,
1248,James Edwards,213,102,University of Washington,1955,Seattle,Washington
1249,Bo Ellis,196,83,Niagara University,1936,,
1250,Al Fleming,201,97,University of Arizona,1954,Chicago,Illinois
1251,Bayard Forrest,208,106,Grand Canyon University,1954,San Jose,California
1252,Mike Glenn,188,79,Southern Illinois University,1955,Rome,Georgia
1253,Glen Gondrezick,198,98,"University of Nevada, Las Vegas",1955,Boulder,Colorado
1254,Rickey Green,183,77,University of Michigan,1954,Chicago,Illinois
1255,Greg Griffin,201,86,Idaho State University,1952,Cleveland,Ohio
1256,Ernie Grunfeld,198,95,University of Tennessee,1955,Satu-Mare,Romania
1257,Joe Hassett,196,81,Providence College,1955,Providence,Rhode Island
1258,Eddie Johnson,203,92,Tennessee State University,1944,Atlanta,Georgia
1259,Larry Johnson,190,92,University of Kentucky,1954,Morganfield,Kentucky
1260,Marques Johnson,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
1261,Eddie Jordan,185,77,Rutgers University,1955,Washington,District of Columbia
1262,Bernard King*,201,92,University of Tennessee,1956,Brooklyn,New York
1263,Toby Knight,206,95,University of Notre Dame,1955,Bronx,New York
1264,John Kuester,188,81,University of North Carolina,1955,Richmond,Virginia
1265,Tom LaGarde,208,99,University of North Carolina,1955,Detroit,Michigan
1266,Mark Landsberger,203,97,Arizona State University,1955,Minot,North Dakota
1267,Rich Laurel,198,86,Hofstra University,1954,Philadelphia,Pennsylvania
1268,Ricky Marsh,190,90,Manhattan College,1954,New York,New York
1269,Cedric Maxwell,203,92,University of North Carolina at Charlotte,1955,Kinston,North Carolina
1270,Larry Moffett,203,95,"University of Nevada, Las Vegas",1954,Mobile,Alabama
1271,Glenn Mosley,203,88,Seton Hall University,1955,Newark,New Jersey
1272,Norm Nixon,188,77,Duquesne University,1955,Macon,Georgia
1273,Eddie Owens,201,95,"University of Nevada, Las Vegas",1953,,
1274,Ben Poquette,206,106,Central Michigan University,1955,Ann Arbor,Michigan
1275,Robert Reid,203,92,St. Mary's University,1955,Atlanta,Georgia
1276,Anthony Roberts,196,83,Oral Roberts University,1955,Chattanooga,Tennessee
1277,Tony Robertson,193,88,West Virginia University,1956,Detroit,Michigan
1278,Tree Rollins,216,106,Clemson University,1955,Winter Haven,Florida
1279,Alvin Scott,201,83,Oral Roberts University,1955,Cleveland,Tennessee
1280,Steve Sheppard,198,97,University of Maryland,1954,New York,New York
1281,Jack Sikma,211,104,Illinois Wesleyan University,1955,Kankakee,Illinois
1282,Scott Sims,185,77,University of Missouri,1955,Kirksville,Missouri
1283,Robert Smith,180,74,"University of Nevada, Las Vegas",1955,Los Angeles,California
1284,Phil Walker,190,81,Millersville University of Pennsylvania,1956,Philadelphia,Pennsylvania
1285,Wilson Washington,206,102,Old Dominion University,1955,Norfolk,Virginia
1286,Ray Williams,190,85,University of Minnesota,1954,Mount Vernon,New York
1287,Kim Anderson,201,90,University of Missouri,1955,Sedalia,Missouri
1288,Del Beshore,180,74,California University of Pennslyvania,1956,Mechanicsburg,Pennsylvania
1289,Dennis Boyd,185,79,University of Detroit Mercy,1954,Portsmouth,Virginia
1290,Winford Boynes,198,83,University of San Francisco,1957,Greenville,South Carolina
1291,Ron Brewer,193,81,University of Arkansas,1955,Fort Smith,Arkansas
1292,Greg Bunch,198,86,"California State University, Fullerton",1956,San Bernardino,California
1293,Marty Byrnes,201,97,Syracuse University,1956,Syracuse,New York
1294,Ron Carter,196,86,Virginia Military Institute,1956,Pittsburgh,Pennsylvania
1295,Maurice Cheeks,185,81,West Texas A&M University,1956,Chicago,Illinois
1296,Michael Cooper,196,77,University of New Mexico,1956,Los Angeles,California
1297,Wayne Cooper,208,99,University of New Orleans,1956,Milan,Georgia
1298,Dave Corzine,211,113,DePaul University,1956,Arlington Heights,Illinois
1299,Geoff Crompton,211,127,University of North Carolina,1955,Burlington,North Carolina
1300,Harry Davis,201,99,Florida State University,1956,Cleveland,Ohio
1301,Bob Elliott,206,102,University of Arizona,1955,Ann Arbor,Michigan
1302,Ray Epps,198,88,Norfolk State University,1956,Amelia,Virginia
1303,Phil Ford,188,79,University of North Carolina,1956,Rocky Mount,North Carolina
1304,Jack Givens,196,92,University of Kentucky,1956,Lexington,Kentucky
1305,Tommie Green,188,83,Southern University and A&M College,1956,Baton Rouge,Louisiana
1306,Lars Hansen,208,102,University of Washington,1954,Copenhagen,Denmark
1307,James Hardy,203,99,University of San Francisco,1956,Knoxville,Alabama
1308,Keith Herron,198,88,Villanova University,1956,Memphis,Tennessee
1309,Kenny Higgs,183,81,Louisiana State University,1955,Owensboro,Kentucky
1310,Essie Hollis,198,88,St. Bonaventure University,1955,Erie,Pennsylvania
1311,Otis Howard,201,99,Austin Peay State University,1956,Oak Ridge,Tennessee
1312,Clemon Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
1313,Jeff Judkins,198,83,University of Utah,1956,Salt Lake City,Utah
1314,Joel Kramer,201,92,San Diego State University,1955,San Diego,California
1315,Butch Lee,183,83,Marquette University,1956,Santurce,Puerto Rico
1316,John Long,196,88,University of Detroit Mercy,1956,Romulus,Michigan
1317,Billy McKinney,183,72,Northwestern University,1955,Waukegan,Illinois
1318,Mike Mitchell,201,97,Auburn University,1956,Atlanta,Georgia
1319,John Olive,201,95,Villanova University,1955,Philadelphia,Pennsylvania
1320,Roger Phegley,198,92,Bradley University,1956,East Peoria,Illinois
1321,Stan Pietkiewicz,196,90,Auburn University,1956,Huntsville,Alabama
1322,Wayne Radford,190,92,Indiana University,1956,Indianapolis,Indiana
1323,Marlon Redmond,198,85,University of San Francisco,1955,San Francisco,California
1324,Micheal Ray,198,85,,1955,,
1325,Rick Robey,211,104,University of Kentucky,1956,Coral Gables,Florida
1326,Jackie Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
1327,John Rudd,201,104,McNeese State University,1955,DeRidder,Louisiana
1328,Frankie Sanders,198,90,Southern University and A&M College,1957,Dayton,Ohio
1329,Purvis Short,201,95,Jackson State University,1957,Hattiesburg,Mississippi
1330,Sam Smith,201,104,Kentucky Wesleyan College,1944,Hazard,Kentucky
1331,Reggie Theus,201,86,"University of Nevada, Las Vegas",1957,Inglewood,California
1332,Mychal Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
1333,Raymond Townsend,190,79,"University of California, Los Angeles",1955,San Jose,California
1334,Terry Tyler,201,97,University of Detroit Mercy,1956,Detroit,Michigan
1335,Andre Wakefield,190,79,Loyola University of Chicago,1955,Chicago,Illinois
1336,Jerome Whitehead,208,99,Marquette University,1956,Waukegan,Illinois
1337,Freeman Williams,193,86,Portland State University,1956,Los Angeles,California
1338,Rick Wilson,196,90,University of Louisville,1956,Louisville,Kentucky
1339,James Bailey,206,99,Rutgers University,1957,Dublin,Georgia
1340,Billy Ray,206,99,,1957,,
1341,Larry Bird*,206,99,Indiana State University,1956,West Baden,Indiana
1342,Lawrence Boston,203,102,University of Maryland,1956,Cleveland,Ohio
1343,Dudley Bradley,198,88,University of North Carolina,1957,Baltimore,Maryland
1344,Bill Cartwright,216,111,University of San Francisco,1957,Lodi,California
1345,Jeff Cook,208,97,Idaho State University,1956,West Covina,California
1346,Hollis Copeland,198,81,Rutgers University,1955,Trenton,New Jersey
1347,John Coughran,201,102,University of California,1951,Pittsburg,California
1348,Terry Crosby,193,88,University of Tennessee,1957,Toledo,Ohio
1349,Pat Cummings,206,104,University of Cincinnati,1956,Johnstown,Pennsylvania
1350,Paul Dawkins,196,86,Northern Illinois University,1957,Saginaw,Michigan
1351,Greg Deane,193,86,University of Utah,1957,Tulare,California
1352,Larry Demic,206,102,University of Arizona,1957,Gary,Indiana
1353,Terry Duerod,188,81,University of Detroit Mercy,1956,Royal Oak,Michigan
1354,Earl Evans,203,91,"University of Nevada, Las Vegas",1955,Port Arthur,Texas
1355,Mike Evans,185,77,Kansas State University,1955,Goldsboro,North Carolina
1356,Gary Garland,193,81,DePaul University,1957,East Orange,New Jersey
1357,Dave Greenwood,206,100,"University of California, Los Angeles",1957,Lynwood,California
1358,Roy Hamilton,188,81,"University of California, Los Angeles",1957,Los Angeles,California
1359,Gerald Henderson,188,79,Virginia Commonwealth University,1956,Richmond,Virginia
1360,Johnny High,190,83,"University of Nevada, Reno",1957,Birmingham,Alabama
1361,Brad Holland,190,81,"University of California, Los Angeles",1956,Billings,Montana
1362,Phil Hubbard,203,97,University of Michigan,1956,Canton,Ohio
1363,Geoff Huston,188,79,Texas Tech University,1957,Brooklyn,New York
1364,Abdul Jeelani,203,95,University of Wisconsin-Parkside,1954,Bells,Tennessee
1365,Cheese Johnson,183,77,University of California,1949,Corpus Christi,Texas
1366,Magic Johnson*,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
1367,Vinnie Johnson,188,90,Baylor University,1956,Brooklyn,New York
1368,Major Jones,206,102,Albany State University,1953,McGhee,Arkansas
1369,Greg Kelser,201,86,Michigan State University,1957,Panama City,Florida
1370,Irv Kiffin,206,102,Oklahoma Baptist University,1951,New York,New York
1371,Carl Kilpatrick,208,104,University of Louisiana at Monroe,1956,Bastrop,Louisiana
1372,Reggie King,198,102,University of Alabama,1957,Birmingham,Alabama
1373,Arvid Kramer,206,99,Augustana College (SD),1956,Fulda,Minnesota
1374,Allen Leavell,185,77,Oklahoma City University,1957,Muncie,Indiana
1375,Ollie Mack,190,83,East Carolina University,1957,New York,New York
1376,Steve Malovic,208,104,San Diego State University,1956,Cleveland,Ohio
1377,Paul Mokeski,213,113,University of Kansas,1957,Spokane,Washington
1378,Sidney Moncrief,190,81,University of Arkansas,1957,Little Rock,Arkansas
1379,Calvin Natt,198,99,University of Louisiana at Monroe,1957,Monroe,Louisiana
1380,Sylvester Norris,211,99,Jackson State University,1957,Jackson,Mississippi
1381,Wiley Peck,201,99,Mississippi State University,1957,Montgomery,Alabama
1382,Sam Pellom,206,102,"University at Buffalo, State University of New York",1951,Wilmington,North Carolina
1383,Clint Richardson,190,88,Seattle University,1956,Seattle,Washington
1384,Cliff Robinson,206,99,University of Southern California,1960,Oakland,California
1385,Jim Spanarkel,196,86,Duke University,1957,Jersey City,New Jersey
1386,Bernard Toone,206,95,Marquette University,1956,Yonkers,New York
1387,Duck Williams,188,81,University of Notre Dame,1956,Demopolis,Alabama
1388,Sly Williams,201,95,University of Rhode Island,1958,New Haven,Connecticut
